"salary","years_exp","sex","bank_loan"
1783,17,"Woman","No"
1619,13,"Man","No"
1858,16,"Man","Yes"
1791,19,"Woman","No"
1883,21,"Woman","Yes"
1764,23,"Man","Yes"
2037,17,"Woman","Yes"
1448,7,"Man","No"
1576,27,"Man","Yes"
1436,16,"Woman","No"
1736,26,"Woman","Yes"
1430,18,"Man","No"
1187,26,"Man","Yes"
1703,16,"Woman","No"
1890,23,"Woman","Yes"
1100,25,"Man","No"
1425,11,"Woman","No"
1828,14,"Man","No"
1885,20,"Man","Yes"
1605,19,"Woman","No"
1761,25,"Woman","Yes"
1237,24,"Woman","No"
1071,13,"Man","No"
1188,27,"Woman","No"
1691,13,"Man","No"
1647,16,"Man","No"
1494,19,"Woman","No"
1349,15,"Man","No"
1551,19,"Woman","No"
1776,27,"Woman","Yes"
1138,16,"Woman","No"
1833,19,"Woman","No"
1517,12,"Woman","No"
1861,18,"Man","Yes"
1399,22,"Woman","No"
1340,16,"Woman","No"
1256,22,"Man","No"
1457,17,"Man","No"
1580,25,"Man","Yes"
1132,12,"Man","No"
1217,26,"Man","Yes"
1130,15,"Man","No"
1250,22,"Woman","No"
834,13,"Woman","No"
1328,20,"Woman","No"
1862,20,"Man","Yes"
1930,11,"Man","No"
1570,18,"Woman","No"
1014,16,"Man","No"
1356,20,"Woman","No"
1738,9,"Woman","No"
1371,18,"Woman","No"
1632,23,"Woman","No"
1552,27,"Man","Yes"
1394,15,"Woman","No"
2012,13,"Man","Yes"
1253,20,"Woman","No"
1483,20,"Woman","No"
1579,25,"Woman","Yes"
1727,22,"Woman","Yes"
1080,27,"Man","No"
2150,28,"Woman","Yes"
1285,21,"Woman","No"
2019,30,"Man","Yes"
1215,16,"Woman","No"
1791,16,"Woman","No"
1473,14,"Man","No"
1029,25,"Man","No"
1374,17,"Woman","No"
1323,11,"Woman","No"
1170,16,"Woman","No"
1807,23,"Man","Yes"
1878,27,"Man","Yes"
1225,22,"Woman","No"
1501,18,"Man","No"
1475,19,"Woman","No"
958,21,"Man","No"
1730,18,"Man","Yes"
1718,15,"Man","No"
1148,19,"Man","No"
1244,31,"Woman","Yes"
1842,23,"Man","Yes"
1655,23,"Man","Yes"
1563,29,"Woman","Yes"
1635,19,"Woman","No"
1631,20,"Woman","No"
1282,16,"Man","No"
1575,25,"Woman","Yes"
1710,16,"Woman","No"
1613,13,"Woman","No"
1489,18,"Man","No"
1695,18,"Man","Yes"
2366,10,"Woman","No"
1905,16,"Man","Yes"
1648,22,"Man","Yes"
1569,19,"Man","No"
1607,19,"Woman","No"
1769,24,"Woman","Yes"
1332,22,"Woman","No"
1901,19,"Man","Yes"
1005,28,"Woman","No"
1684,31,"Woman","Yes"
1456,20,"Man","No"
1406,19,"Man","No"
1710,20,"Man","Yes"
1709,14,"Woman","No"
1712,28,"Man","Yes"
1820,18,"Woman","No"
1127,16,"Woman","No"
812,21,"Man","No"
1566,18,"Man","No"
1628,22,"Man","Yes"
2104,11,"Man","Yes"
1475,19,"Man","No"
1303,20,"Woman","No"
1369,18,"Man","No"
1643,19,"Man","Yes"
1617,10,"Man","No"
1341,24,"Woman","No"
1192,11,"Man","No"
980,20,"Man","No"
1648,18,"Woman","No"
1421,32,"Woman","Yes"
851,21,"Man","No"
1583,18,"Woman","No"
1549,17,"Woman","No"
1110,17,"Man","No"
949,15,"Woman","No"
1294,16,"Woman","No"
1443,20,"Woman","No"
1221,21,"Woman","No"
1279,23,"Man","No"
1845,21,"Woman","Yes"
2049,27,"Man","Yes"
1976,28,"Man","Yes"
828,14,"Man","No"
1736,19,"Woman","No"
1352,11,"Man","No"
1461,22,"Woman","No"
1096,18,"Woman","No"
1525,24,"Man","Yes"
1016,23,"Woman","No"
1338,24,"Man","Yes"
1353,19,"Woman","No"
1543,10,"Woman","No"
1325,27,"Man","Yes"
1763,17,"Man","Yes"
1507,20,"Woman","No"
1283,18,"Man","No"
1596,18,"Man","No"
1691,21,"Woman","No"
1518,20,"Man","No"
2057,24,"Man","Yes"
1981,11,"Man","No"
1339,31,"Man","Yes"
1216,21,"Man","No"
2289,24,"Woman","Yes"
1678,22,"Man","Yes"
1287,12,"Man","No"
2020,20,"Man","Yes"
1613,21,"Woman","No"
1981,11,"Woman","No"
1827,12,"Man","No"
1497,17,"Woman","No"
1706,21,"Man","Yes"
1516,19,"Woman","No"
1790,20,"Man","Yes"
1461,22,"Woman","No"
1134,21,"Woman","No"
1476,22,"Woman","No"
1340,28,"Woman","No"
1863,12,"Woman","No"
1382,23,"Woman","No"
1116,22,"Man","No"
1380,18,"Woman","No"
1869,21,"Woman","Yes"
1736,28,"Man","Yes"
1592,19,"Man","No"
1617,23,"Man","Yes"
1288,25,"Man","Yes"
1551,17,"Man","No"
1743,26,"Man","Yes"
1588,17,"Man","No"
1727,15,"Man","No"
1182,18,"Man","No"
1497,15,"Woman","No"
1565,23,"Man","Yes"
1921,19,"Man","Yes"
2067,22,"Woman","Yes"
954,19,"Woman","No"
1276,18,"Woman","No"
1105,16,"Man","No"
1709,14,"Man","No"
1771,18,"Man","Yes"
2041,15,"Woman","No"
1881,18,"Man","Yes"
1967,22,"Man","Yes"
1324,31,"Man","Yes"
1584,24,"Man","Yes"
1299,11,"Man","No"
1312,9,"Woman","No"
1626,31,"Woman","Yes"
1617,13,"Woman","No"
1161,26,"Woman","No"
1910,24,"Woman","Yes"
1553,15,"Man","No"
1384,25,"Man","Yes"
2125,18,"Woman","Yes"
1577,21,"Woman","No"
1286,20,"Woman","No"
1392,14,"Man","No"
1223,24,"Man","No"
1380,13,"Woman","No"
1401,11,"Woman","No"
1031,16,"Man","No"
1131,25,"Woman","No"
1346,18,"Man","No"
1741,21,"Woman","No"
1751,17,"Man","Yes"
2115,25,"Man","Yes"
2007,28,"Woman","Yes"
1370,23,"Woman","No"
1537,19,"Man","No"
1275,18,"Woman","No"
1434,17,"Woman","No"
1374,20,"Man","No"
1984,13,"Woman","No"
1107,15,"Woman","No"
1459,21,"Man","No"
1177,32,"Woman","Yes"
1231,17,"Woman","No"
1313,14,"Woman","No"
1612,16,"Woman","No"
1244,18,"Woman","No"
1274,18,"Woman","No"
1351,17,"Man","No"
1493,23,"Man","Yes"
1370,22,"Woman","No"
1822,17,"Man","Yes"
1687,12,"Man","No"
1918,13,"Man","No"
1542,20,"Woman","No"
1264,27,"Man","Yes"
1408,19,"Man","No"
1824,22,"Woman","Yes"
1353,10,"Man","No"
1597,19,"Man","No"
1937,17,"Woman","No"
581,24,"Woman","No"
2447,13,"Woman","Yes"
1629,15,"Woman","No"
1297,19,"Woman","No"
1626,19,"Woman","No"
1628,16,"Man","No"
1477,16,"Woman","No"
2058,19,"Woman","Yes"
1966,19,"Woman","Yes"
1468,22,"Man","Yes"
1427,18,"Man","No"
1621,19,"Woman","No"
1189,26,"Woman","No"
1814,22,"Man","Yes"
1264,15,"Woman","No"
1945,20,"Man","Yes"
1644,17,"Man","No"
1017,29,"Man","Yes"
1051,24,"Man","No"
1461,23,"Man","Yes"
1663,20,"Man","Yes"
1625,20,"Woman","No"
1871,20,"Woman","Yes"
1827,25,"Man","Yes"
1704,21,"Man","Yes"
1485,11,"Woman","No"
1499,27,"Woman","Yes"
1243,26,"Man","Yes"
1978,13,"Woman","No"
1693,23,"Man","Yes"
1600,19,"Man","No"
1033,12,"Woman","No"
2036,13,"Man","Yes"
1259,22,"Man","No"
1373,24,"Man","Yes"
1864,26,"Man","Yes"
1278,16,"Woman","No"
1447,28,"Man","Yes"
1125,23,"Man","No"
1239,27,"Woman","No"
1764,15,"Man","No"
1216,11,"Woman","No"
1563,21,"Woman","No"
1395,18,"Woman","No"
1358,28,"Woman","No"
1272,19,"Man","No"
1658,22,"Man","Yes"
2073,24,"Man","Yes"
1403,23,"Woman","No"
1571,25,"Woman","Yes"
1403,26,"Woman","No"
1155,17,"Man","No"
1712,23,"Man","Yes"
1792,23,"Man","Yes"
1054,25,"Man","No"
1546,16,"Man","No"
1006,16,"Man","No"
1771,23,"Woman","Yes"
1524,20,"Man","No"
1712,20,"Woman","No"
1918,22,"Man","Yes"
1926,19,"Man","Yes"
1147,17,"Man","No"
1449,25,"Man","Yes"
1334,16,"Woman","No"
1489,18,"Woman","No"
1136,21,"Woman","No"
1348,12,"Man","No"
1067,19,"Woman","No"
1983,22,"Woman","Yes"
1584,25,"Woman","Yes"
1211,16,"Man","No"
1618,22,"Man","Yes"
762,13,"Man","No"
1758,17,"Woman","No"
1921,21,"Man","Yes"
1051,32,"Woman","No"
1649,19,"Man","Yes"
1649,16,"Man","No"
1450,24,"Woman","No"
1882,10,"Woman","No"
1313,20,"Woman","No"
1323,19,"Woman","No"
1468,13,"Woman","No"
1310,18,"Woman","No"
1462,16,"Man","No"
1856,12,"Man","No"
1872,17,"Woman","No"
1767,17,"Woman","No"
1656,22,"Man","Yes"
1459,12,"Woman","No"
1772,18,"Woman","No"
843,18,"Woman","No"
1439,18,"Woman","No"
1161,13,"Man","No"
1553,21,"Woman","No"
1392,24,"Woman","No"
954,21,"Man","No"
1637,19,"Man","Yes"
1571,16,"Man","No"
1084,17,"Woman","No"
1533,24,"Woman","No"
1256,15,"Man","No"
1141,13,"Man","No"
1127,15,"Man","No"
1747,19,"Woman","No"
1375,19,"Man","No"
1472,23,"Woman","No"
1390,21,"Woman","No"
1527,19,"Man","No"
1984,16,"Woman","No"
1465,11,"Man","No"
1771,16,"Man","No"
1734,19,"Woman","No"
2068,20,"Man","Yes"
1509,26,"Man","Yes"
1696,17,"Woman","No"
1138,24,"Woman","No"
1444,22,"Man","Yes"
1249,21,"Woman","No"
1415,18,"Man","No"
1595,20,"Woman","No"
1367,23,"Man","Yes"
1426,17,"Man","No"
1355,18,"Man","No"
1463,15,"Man","No"
1040,16,"Woman","No"
1722,20,"Man","Yes"
1708,18,"Woman","No"
1222,27,"Man","Yes"
1577,25,"Man","Yes"
811,17,"Man","No"
1308,20,"Woman","No"
1518,22,"Woman","No"
1327,20,"Man","No"
1538,19,"Woman","No"
1717,9,"Man","No"
2004,19,"Woman","Yes"
1574,14,"Woman","No"
1202,13,"Woman","No"
1688,28,"Man","Yes"
1177,20,"Man","No"
1982,20,"Woman","Yes"
1554,25,"Man","Yes"
1713,25,"Man","Yes"
1573,23,"Woman","No"
1668,19,"Man","Yes"
1429,24,"Woman","No"
1893,21,"Woman","Yes"
1640,12,"Woman","No"
1478,19,"Man","No"
1954,19,"Man","Yes"
1959,13,"Woman","No"
1392,22,"Woman","No"
1526,25,"Woman","No"
876,24,"Woman","No"
1168,20,"Man","No"
1587,18,"Woman","No"
1261,16,"Man","No"
1690,11,"Woman","No"
664,25,"Woman","No"
1464,21,"Man","No"
1403,23,"Woman","No"
1333,18,"Woman","No"
1524,3,"Man","No"
978,29,"Man","No"
1625,23,"Man","Yes"
1596,23,"Woman","No"
1725,16,"Man","No"
1554,13,"Woman","No"
1717,17,"Man","No"
1952,17,"Man","Yes"
1549,19,"Woman","No"
1851,9,"Woman","No"
1677,23,"Man","Yes"
1518,12,"Woman","No"
1189,16,"Woman","No"
1665,21,"Man","Yes"
1430,23,"Man","Yes"
837,23,"Woman","No"
2037,22,"Man","Yes"
1913,22,"Woman","Yes"
1231,17,"Man","No"
1493,19,"Woman","No"
1406,13,"Woman","No"
1165,13,"Man","No"
1358,26,"Man","Yes"
1367,23,"Woman","No"
1307,17,"Woman","No"
1575,14,"Woman","No"
1883,20,"Woman","Yes"
1758,19,"Man","Yes"
1919,18,"Man","Yes"
972,15,"Man","No"
1674,12,"Woman","No"
1282,20,"Man","No"
926,13,"Man","No"
1679,16,"Woman","No"
1277,21,"Man","No"
1899,22,"Man","Yes"
1445,15,"Woman","No"
1631,19,"Man","Yes"
1331,16,"Woman","No"
1440,21,"Man","No"
1006,18,"Man","No"
1894,14,"Man","No"
926,15,"Man","No"
1664,18,"Man","No"
1246,21,"Man","No"
1328,20,"Woman","No"
1980,16,"Man","Yes"
1457,12,"Woman","No"
1562,19,"Woman","No"
1836,21,"Man","Yes"
1516,28,"Man","Yes"
1687,19,"Woman","No"
1652,20,"Man","Yes"
1381,18,"Woman","No"
1362,29,"Man","Yes"
1971,23,"Man","Yes"
1771,23,"Woman","Yes"
1621,12,"Man","No"
1378,11,"Man","No"
1779,8,"Man","No"
1587,14,"Man","No"
2059,16,"Woman","No"
1774,22,"Man","Yes"
1655,19,"Man","Yes"
1354,18,"Woman","No"
1317,4,"Man","No"
1877,19,"Man","Yes"
1364,18,"Woman","No"
1587,25,"Man","Yes"
1155,22,"Woman","No"
1454,23,"Woman","No"
1256,17,"Woman","No"
1493,21,"Man","Yes"
1520,18,"Man","No"
1486,21,"Man","Yes"
1655,5,"Man","No"
1368,23,"Woman","No"
1316,22,"Man","No"
1706,22,"Woman","No"
1260,18,"Woman","No"
1607,24,"Woman","No"
1532,27,"Man","Yes"
1551,22,"Man","Yes"
1220,19,"Woman","No"
1921,22,"Woman","Yes"
936,11,"Woman","No"
1688,29,"Man","Yes"
1231,17,"Woman","No"
1588,23,"Woman","No"
1237,9,"Man","No"
1615,15,"Man","No"
1020,24,"Woman","No"
1619,13,"Man","No"
990,18,"Woman","No"
1737,13,"Woman","No"
1358,11,"Man","No"
1389,24,"Woman","No"
1519,25,"Man","Yes"
1412,21,"Woman","No"
1664,25,"Man","Yes"
1486,17,"Man","No"
1784,26,"Woman","Yes"
1640,16,"Woman","No"
1763,21,"Man","Yes"
1797,18,"Woman","No"
1720,19,"Woman","No"
1996,18,"Man","Yes"
1699,28,"Man","Yes"
1307,14,"Man","No"
1624,16,"Woman","No"
1269,16,"Woman","No"
1046,15,"Man","No"
1800,23,"Man","Yes"
1749,15,"Woman","No"
1276,23,"Woman","No"
984,21,"Woman","No"
1369,20,"Man","No"
691,19,"Man","No"
1665,15,"Woman","No"
2104,21,"Woman","Yes"
1660,19,"Man","Yes"
1101,21,"Woman","No"
1365,9,"Man","No"
1951,23,"Woman","Yes"
1473,22,"Woman","No"
1448,22,"Woman","No"
1739,18,"Man","Yes"
1505,18,"Man","No"
1827,12,"Man","No"
1448,20,"Man","No"
845,25,"Man","No"
1539,21,"Man","Yes"
1864,15,"Woman","No"
1764,25,"Woman","Yes"
1263,20,"Man","No"
1087,22,"Woman","No"
1523,17,"Man","No"
1567,18,"Man","No"
2224,23,"Man","Yes"
1663,20,"Man","Yes"
1473,20,"Woman","No"
1617,18,"Woman","No"
1239,24,"Woman","No"
1655,20,"Woman","No"
1855,25,"Woman","Yes"
1278,28,"Man","Yes"
973,18,"Woman","No"
562,24,"Woman","No"
1739,19,"Woman","No"
1843,21,"Woman","Yes"
1355,7,"Man","No"
2403,19,"Man","Yes"
1696,20,"Man","Yes"
1831,22,"Woman","Yes"
1484,12,"Woman","No"
1803,14,"Man","No"
1685,26,"Man","Yes"
1450,24,"Man","Yes"
1285,14,"Woman","No"
1824,16,"Man","Yes"
1787,19,"Man","Yes"
1303,23,"Man","No"
1244,19,"Woman","No"
1957,13,"Woman","No"
1356,20,"Man","No"
1760,22,"Woman","Yes"
1219,25,"Man","No"
1344,19,"Woman","No"
1628,24,"Man","Yes"
1666,25,"Woman","Yes"
1915,16,"Woman","No"
1932,18,"Woman","No"
1604,23,"Woman","No"
967,12,"Man","No"
1258,19,"Man","No"
1732,23,"Man","Yes"
1376,26,"Woman","No"
1380,15,"Man","No"
1176,14,"Man","No"
1655,14,"Woman","No"
1380,23,"Man","Yes"
1098,25,"Woman","No"
1697,24,"Woman","Yes"
1987,19,"Man","Yes"
1197,25,"Woman","No"
1127,23,"Woman","No"
1452,19,"Woman","No"
1441,22,"Man","Yes"
1090,24,"Woman","No"
1225,18,"Man","No"
1503,19,"Man","No"
1663,21,"Woman","No"
1200,20,"Man","No"
1190,15,"Man","No"
1791,24,"Woman","Yes"
1318,11,"Woman","No"
1671,29,"Man","Yes"
1609,22,"Man","Yes"
1721,21,"Man","Yes"
677,24,"Man","No"
1729,16,"Woman","No"
1599,20,"Man","Yes"
1417,24,"Woman","No"
1577,12,"Woman","No"
1728,20,"Man","Yes"
1265,14,"Woman","No"
1755,19,"Man","Yes"
702,22,"Woman","No"
1707,18,"Man","Yes"
919,13,"Woman","No"
1679,18,"Woman","No"
1336,11,"Woman","No"
1895,22,"Woman","Yes"
1453,26,"Woman","No"
1136,27,"Man","Yes"
1246,23,"Man","No"
1435,11,"Man","No"
1231,21,"Man","No"
1823,21,"Man","Yes"
907,8,"Man","No"
1615,21,"Man","Yes"
901,21,"Woman","No"
1500,27,"Woman","Yes"
1635,20,"Man","Yes"
2020,17,"Woman","No"
1721,23,"Man","Yes"
1441,13,"Man","No"
1573,18,"Man","No"
1906,28,"Man","Yes"
1645,27,"Man","Yes"
1637,20,"Woman","No"
1365,17,"Man","No"
1820,25,"Man","Yes"
1212,25,"Woman","No"
1214,22,"Woman","No"
2136,32,"Man","Yes"
1689,6,"Man","No"
1617,10,"Man","No"
1557,16,"Man","No"
2096,21,"Man","Yes"
1315,23,"Woman","No"
702,24,"Man","No"
1632,15,"Man","No"
1136,19,"Man","No"
1678,20,"Woman","No"
1734,19,"Woman","No"
1094,16,"Woman","No"
1861,23,"Man","Yes"
1277,16,"Woman","No"
1828,22,"Man","Yes"
1448,22,"Man","Yes"
1880,21,"Man","Yes"
1313,21,"Woman","No"
1337,13,"Man","No"
1487,14,"Woman","No"
1924,27,"Woman","Yes"
1255,16,"Man","No"
1995,15,"Woman","No"
1488,21,"Woman","No"
1010,17,"Woman","No"
1551,23,"Man","Yes"
873,26,"Woman","No"
1510,19,"Woman","No"
1345,24,"Man","Yes"
1537,23,"Man","Yes"
1212,19,"Man","No"
1641,9,"Woman","No"
1754,22,"Man","Yes"
1477,24,"Man","Yes"
1266,20,"Man","No"
947,21,"Man","No"
1526,15,"Woman","No"
1531,22,"Man","Yes"
1500,24,"Woman","No"
1602,24,"Man","Yes"
956,35,"Man","Yes"
1919,23,"Woman","Yes"
1114,8,"Man","No"
1154,20,"Man","No"
1772,29,"Man","Yes"
1594,17,"Man","No"
1716,24,"Man","Yes"
2289,19,"Man","Yes"
1505,23,"Woman","No"
1307,28,"Woman","No"
1092,25,"Woman","No"
1552,29,"Man","Yes"
1742,20,"Man","Yes"
1221,21,"Woman","No"
1753,22,"Woman","Yes"
1164,16,"Man","No"
1825,16,"Man","Yes"
1397,12,"Man","No"
2058,22,"Man","Yes"
1247,19,"Man","No"
1774,14,"Man","No"
1663,25,"Man","Yes"
1414,19,"Man","No"
1321,22,"Man","No"
1226,24,"Woman","No"
1387,15,"Woman","No"
1612,24,"Woman","Yes"
1258,22,"Man","No"
1611,20,"Woman","No"
1256,23,"Woman","No"
1220,20,"Man","No"
2116,14,"Woman","No"
1603,21,"Man","Yes"
1489,28,"Man","Yes"
2006,17,"Man","Yes"
1306,16,"Man","No"
1568,16,"Woman","No"
1432,27,"Woman","Yes"
1629,31,"Man","Yes"
1801,18,"Woman","No"
1736,22,"Woman","Yes"
1440,14,"Woman","No"
1279,25,"Man","Yes"
1665,16,"Woman","No"
1745,12,"Man","No"
1823,27,"Woman","Yes"
1963,26,"Man","Yes"
1094,10,"Woman","No"
1528,24,"Woman","No"
1603,25,"Man","Yes"
2045,24,"Man","Yes"
1411,21,"Man","No"
1653,19,"Woman","No"
2023,20,"Woman","Yes"
1349,27,"Man","Yes"
1478,14,"Woman","No"
1325,26,"Man","Yes"
1538,15,"Man","No"
745,23,"Man","No"
2081,29,"Woman","Yes"
1083,11,"Man","No"
1438,13,"Man","No"
1542,18,"Woman","No"
1457,20,"Man","No"
1375,22,"Woman","No"
1076,15,"Man","No"
1555,28,"Man","Yes"
1643,24,"Woman","Yes"
1720,16,"Woman","No"
1455,32,"Woman","Yes"
1537,22,"Woman","No"
1843,22,"Woman","Yes"
1693,22,"Woman","No"
1386,22,"Woman","No"
1124,20,"Man","No"
1799,23,"Woman","Yes"
1088,24,"Man","No"
1135,25,"Woman","No"
1438,21,"Woman","No"
1130,21,"Woman","No"
1561,24,"Man","Yes"
1502,27,"Woman","Yes"
1574,27,"Woman","Yes"
1646,24,"Woman","Yes"
1875,20,"Man","Yes"
1256,20,"Woman","No"
1903,25,"Man","Yes"
1289,29,"Woman","No"
1217,17,"Woman","No"
1524,12,"Woman","No"
1116,12,"Man","No"
1912,32,"Woman","Yes"
1830,19,"Man","Yes"
1870,16,"Woman","No"
1010,14,"Woman","No"
1965,29,"Man","Yes"
1333,30,"Woman","Yes"
911,28,"Woman","No"
1604,18,"Woman","No"
1686,23,"Woman","Yes"
872,24,"Man","No"
1491,18,"Woman","No"
1432,14,"Woman","No"
1272,17,"Woman","No"
1344,17,"Woman","No"
1344,16,"Woman","No"
1226,20,"Man","No"
1298,27,"Man","Yes"
1354,20,"Woman","No"
1239,24,"Man","No"
1977,16,"Woman","No"
1495,26,"Man","Yes"
1330,20,"Woman","No"
1486,20,"Man","No"
1752,27,"Man","Yes"
1463,25,"Man","Yes"
1985,19,"Man","Yes"
2014,17,"Woman","No"
1728,20,"Woman","No"
1908,22,"Woman","Yes"
1539,17,"Woman","No"
1572,20,"Man","Yes"
1326,16,"Woman","No"
1981,18,"Woman","Yes"
1725,17,"Man","Yes"
1979,23,"Woman","Yes"
1800,22,"Man","Yes"
1581,16,"Woman","No"
1267,27,"Man","Yes"
1323,11,"Man","No"
1433,20,"Woman","No"
1629,18,"Woman","No"
824,22,"Woman","No"
1599,23,"Woman","No"
1141,26,"Woman","No"
1138,18,"Man","No"
1175,19,"Man","No"
1235,18,"Man","No"
1822,13,"Woman","No"
1573,28,"Woman","Yes"
1425,20,"Man","No"
1308,19,"Woman","No"
1737,23,"Woman","Yes"
1226,14,"Woman","No"
1951,4,"Man","No"
1140,23,"Woman","No"
1020,13,"Woman","No"
1410,14,"Man","No"
942,11,"Man","No"
1759,19,"Woman","No"
1452,23,"Man","Yes"
1529,22,"Woman","No"
2016,23,"Man","Yes"
1499,15,"Man","No"
1366,14,"Woman","No"
1458,24,"Man","Yes"
1350,22,"Woman","No"
1502,19,"Man","No"
1950,17,"Woman","No"
1289,15,"Woman","No"
2089,24,"Man","Yes"
1286,14,"Man","No"
1567,16,"Woman","No"
2110,18,"Woman","Yes"
1044,18,"Woman","No"
1266,19,"Man","No"
1751,22,"Man","Yes"
1091,32,"Woman","No"
1228,20,"Man","No"
1356,14,"Man","No"
1718,26,"Woman","Yes"
1195,28,"Man","Yes"
2022,16,"Woman","No"
1445,16,"Woman","No"
1463,7,"Man","No"
1500,22,"Man","Yes"
1370,23,"Woman","No"
1688,26,"Woman","Yes"
1678,17,"Woman","No"
1268,17,"Woman","No"
1143,10,"Woman","No"
2048,26,"Man","Yes"
1634,17,"Woman","No"
1102,19,"Woman","No"
1852,19,"Man","Yes"
1363,18,"Man","No"
1640,26,"Woman","Yes"
1790,19,"Woman","No"
1373,20,"Woman","No"
1740,19,"Man","Yes"
1892,23,"Man","Yes"
1790,25,"Woman","Yes"
2142,22,"Woman","Yes"
1591,18,"Woman","No"
1660,13,"Woman","No"
1176,27,"Man","Yes"
1478,27,"Man","Yes"
1681,18,"Woman","No"
1762,18,"Woman","No"
1703,28,"Woman","Yes"
1376,18,"Man","No"
2100,21,"Woman","Yes"
743,17,"Man","No"
1652,30,"Man","Yes"
1089,20,"Man","No"
1190,16,"Man","No"
1358,22,"Man","No"
2206,10,"Man","Yes"
1511,22,"Woman","No"
1241,17,"Man","No"
1475,20,"Woman","No"
1696,28,"Woman","Yes"
1118,17,"Man","No"
1469,19,"Woman","No"
1461,23,"Woman","No"
1446,27,"Woman","Yes"
1763,16,"Woman","No"
1111,23,"Man","No"
1723,22,"Man","Yes"
1527,14,"Man","No"
1848,24,"Woman","Yes"
1156,27,"Man","Yes"
